,GROUP_NAME,PlusMinus
292,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Brown,1.6
293,M. Wagner - B. Bol - C. Anthony - F. Wagner - C. Houstan,7.7
294,T. Ross - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,3.0
295,T. Young - F. VanVleet - O. Anunoby - S. Barnes - C. Koloko,10.0
296,B. Beal - K. Porzingis - K. Kuzma - M. Morris - D. Avdija,2.1
297,C. Paul - T. Craig - M. Bridges - D. Ayton - J. Landale,-8.5
298,M. Morris Sr. - K. Leonard - R. Jackson - I. Zubac - T. Mann,2.0
299,S. Gilgeous-Alexander - L. Dort - A. Pokusevski - J. Robinson-Earl - J. Giddey,-5.8
300,A. Nembhard - J. Nwora - A. Nesmith - I. Jackson - B. Mathurin,-4.0
301,B. Bogdanovic - T. Young - D. Hunter - O. Okongwu - T. Forrest,3.5
302,B. Lopez - G. Antetokounmpo - B. Portis - J. Carter - M. Beauchamp,1.3
303,C. Paul - T. Craig - M. Bridges - L. Shamet - D. Ayton,-7.9
304,D. Smith Jr. - P. Washington - L. Ball - N. Richards - B. McGowens,-1.7000000000000002
305,J. Poeltl - K. Johnson - R. Langford - T. Jones - J. Sochan,-1.2
306,J. Randle - J. Brunson - R. Barrett - C. Reddish - J. Sims,-7.0
307,M. Turner - B. Hield - T. Haliburton - J. Smith - C. Duarte,-8.5
308,P. Beverley - D. Schroder - T. Bryant - T. Brown Jr. - L. Walker IV,-4.5
309,R. McGruder - J. Wiseman - K. Hayes - R. Hampton - E. Omoruyi,-7.5
310,A. Coffey - M. Brown - B. Boston Jr. - J. Preston - M. Diabate,2.7
311,L. James - P. Beverley - A. Davis - T. Brown Jr. - L. Walker IV,-3.4
312,S. Curry - K. Thompson - D. Green - K. Looney - D. DiVincenzo,3.8
313,T. Jones - D. Brooks - J. Jackson Jr. - B. Clarke - J. LaRavia,-3.0
314,T. McConnell - M. Turner - B. Hield - A. Nesmith - C. Duarte,-2.5
315,A. Burks - C. Joseph - M. Bagley III - K. Knox II - S. Bey,-1.4
316,A. Horford - B. Griffin - M. Smart - J. Tatum - D. White,-0.5
317,C. Paul - B. Biyombo - D. Booker - T. Craig - J. Okogie,-2.4
318,K. Irving - R. Bullock - D. Powell - M. Kleber - J. Green,2.5
319,L. James - P. Beverley - A. Davis - D. Schroder - L. Walker IV,-0.6000000000000001
320,M. Turner - B. Hield - O. Brissett - A. Nembhard - B. Mathurin,-1.0
321,R. McGruder - M. Bagley III - J. Wiseman - I. Livers - J. Ivey,-6.0
322,S. Adams - T. Jones - D. Brooks - J. Konchar - S. Aldama,1.5
323,V. Oladipo - B. Adebayo - D. Robinson - G. Vincent - M. Strus,0.5
324,A. Burks - B. Bogdanovic - I. Stewart - J. Ivey - J. Duren,-2.2
325,A. Burks - C. Joseph - H. Diallo - K. Knox II - J. Duren,4.0
326,K. Porzingis - K. Kuzma - M. Morris - D. Gafford - C. Kispert,5.8
